
## AOE_damage_bonus_to_spells:
```
belt_fuse_delayed_grenade_b_BIG_belts_Godlike_Shock_on_Burn (biggodlike)
belt_personal_teleporter_b_BIG_belts_Godlike_Shock_on_Burn (biggodlike)
belt_personal_void_shield_b_BIG_belts_Godlike_Shock_on_Burn (biggodlike)
belt_psyker_b_BIG_belts_Godlike_Shock_on_Burn (biggodlike)
belt_refractor_field_b_BIG_belts_Godlike_Shock_on_Burn (biggodlike)
belt_remote_mine_b_BIG_belts_Godlike_Shock_on_Burn (biggodlike)
belt_rosarius_force_field_b_BIG_belts_Godlike_Shock_on_Burn (biggodlike)
belt_stun_grenade_b_BIG_belts_Godlike_Shock_on_Burn (biggodlike)
belt_stun_mine_b_BIG_belts_Godlike_Shock_on_Burn (biggodlike)
belt_technomartyr_girdle_b_BIG_belts_Godlike_Shock_on_Burn (biggodlike)
eye_implant_b_BIG_eye_implant_Godlike_Shock_on_Burn (biggodlike)
```


## Godlike_Shock_on_Crit:
```
eye_implant (godlike)
neural_implant_a_Crit_Slowgroup_neural (ancient)
```


## Godlike_Shock_on_Hit:
```
wardrug_basic (godlike)
```


## Godlike_Shock_on_hit_against_Vulnerable:
```
purity_seal (godlike)
```


## Godlike_Shock_on_Hit_in_Enraged:
```
main_implant (godlike)
```


## Godlike_Shock_on_Poison:
```
belt_deflector_field_generator_b_BIG_belts_Godlike_Shock_on_Poison (biggodlike)
belt_digital_weapons_b_BIG_belts_Godlike_Shock_on_Poison (biggodlike)
belt_fabricator_scatter_field_b_BIG_belts_Godlike_Shock_on_Poison (biggodlike)
belt_frag_grenade_b_BIG_belts_Godlike_Shock_on_Poison (biggodlike)
belt_fuse_delayed_grenade_b_BIG_belts_Godlike_Shock_on_Poison (biggodlike)
belt_personal_teleporter_b_BIG_belts_Godlike_Shock_on_Poison (biggodlike)
belt_personal_void_shield_b_BIG_belts_Godlike_Shock_on_Poison (biggodlike)
belt_psyker_b_BIG_belts_Godlike_Shock_on_Poison (biggodlike)
belt_refractor_field_b_BIG_belts_Godlike_Shock_on_Poison (biggodlike)
belt_remote_mine_b_BIG_belts_Godlike_Shock_on_Poison (biggodlike)
belt_rosarius_force_field_b_BIG_belts_Godlike_Shock_on_Poison (biggodlike)
belt_stun_grenade_b_BIG_belts_Godlike_Shock_on_Poison (biggodlike)
belt_stun_mine_b_BIG_belts_Godlike_Shock_on_Poison (biggodlike)
belt_technomartyr_girdle_b_BIG_belts_Godlike_Shock_on_Poison (biggodlike)
main_implant_b_BIG_main_implant_Godlike_Shock_on_Poison (biggodlike)
```


## Godlike_Shock_on_Stun:
```
neural_implant (godlike)
```


## Godlike_Slow_on_Bleeding:
```
belt_deflector_field_generator (godlike)
belt_digital_weapons (godlike)
belt_fabricator_scatter_field (godlike)
belt_frag_grenade (godlike)
belt_fuse_delayed_grenade (godlike)
belt_personal_teleporter (godlike)
belt_personal_void_shield (godlike)
belt_psyker (godlike)
belt_refractor_field (godlike)
belt_remote_mine (godlike)
belt_rosarius_force_field (godlike)
belt_stun_grenade (godlike)
belt_stun_mine (godlike)
belt_technomartyr_girdle (godlike)
```


## Godlike_Slow_on_Blind:
```
belt_deflector_field_generator_a_Blind_belt (ancient)
belt_digital_weapons_a_Blind_belt (ancient)
belt_fabricator_scatter_field_a_Blind_belt (ancient)
belt_frag_grenade_a_Blind_belt (ancient)
belt_fuse_delayed_grenade_a_Blind_belt (ancient)
belt_personal_teleporter_a_Blind_belt (ancient)
belt_personal_void_shield_a_Blind_belt (ancient)
belt_refractor_field_a_Blind_belt (ancient)
belt_rosarius_force_field_a_Blind_belt (ancient)
belt_stun_grenade_a_Blind_belt (ancient)
neural_implant (godlike)
```


## Godlike_Slow_on_Burn:
```
belt_deflector_field_generator (godlike)
belt_digital_weapons (godlike)
belt_fabricator_scatter_field (godlike)
belt_frag_grenade (godlike)
belt_fuse_delayed_grenade (godlike)
belt_personal_teleporter (godlike)
belt_personal_void_shield (godlike)
belt_psyker (godlike)
belt_refractor_field (godlike)
belt_remote_mine (godlike)
belt_rosarius_force_field (godlike)
belt_stun_grenade (godlike)
belt_stun_mine (godlike)
belt_technomartyr_girdle (godlike)
```


## Godlike_Slow_on_Hit:
```
belt_deflector_field_generator (godlike)
belt_digital_weapons (godlike)
belt_fabricator_scatter_field (godlike)
belt_frag_grenade (godlike)
belt_fuse_delayed_grenade (godlike)
belt_personal_teleporter (godlike)
belt_personal_void_shield (godlike)
belt_psyker (godlike)
belt_refractor_field (godlike)
belt_remote_mine (godlike)
belt_rosarius_force_field (godlike)
belt_stun_grenade (godlike)
belt_stun_mine (godlike)
belt_technomartyr_girdle (godlike)
```


## Godlike_Slow_on_Hit_in_Enraged:
```
eye_implant (godlike)
```


## Godlike_Slow_on_Poison:
```
belt_deflector_field_generator (godlike)
belt_digital_weapons (godlike)
belt_fabricator_scatter_field (godlike)
belt_frag_grenade (godlike)
belt_fuse_delayed_grenade (godlike)
belt_personal_teleporter (godlike)
belt_personal_void_shield (godlike)
belt_psyker (godlike)
belt_refractor_field (godlike)
belt_remote_mine (godlike)
belt_rosarius_force_field (godlike)
belt_stun_grenade (godlike)
belt_stun_mine (godlike)
belt_technomartyr_girdle (godlike)
```


## Godlike_Slow_Shock_duration:
```
aetherwalker_armour_a_Slow_Shock_armour (ancient)
assault_armor_a_Slow_Shock_armour (ancient)
demolition_armor_a_Slow_Shock_armour (ancient)
electroid_shielding_a_Slow_Shock_armour (ancient)
empyrean_armour_a_Slow_Shock_armour (ancient)
eye_implant (godlike)
fabricator_distortion_armour_a_Slow_Shock_armour (ancient)
hololithic_armour_a_Slow_Shock_armour (ancient)
necromechanic_raiment_a_Slow_Shock_armour (ancient)
sentinel_armor_a_Slow_Shock_armour (ancient)
stealth_bodysuit_a_Slow_Shock_armour (ancient)
technomartyr_vestment_a_Slow_Shock_armour (ancient)
warpbound_armour_a_Slow_Shock_armour (ancient)
```


## Godlike_Summon_cost_on_kill:
```
arc_rifle_1skill (godlike)
arc_rifle_1skill_b_BIG_weapons_techadept_Godlike_Summon_cost_on_kill (biggodlike)
arc_rifle_2skill (godlike)
arc_rifle_2skill_b_BIG_weapons_techadept_Godlike_Summon_cost_on_kill (biggodlike)
omnissian_axe_1skill (godlike)
omnissian_axe_1skill_b_BIG_weapons_techadept_Godlike_Summon_cost_on_kill (biggodlike)
omnissian_axe_2skill (godlike)
omnissian_axe_2skill_b_BIG_weapons_techadept_Godlike_Summon_cost_on_kill (biggodlike)
radium_carbine_1skill (godlike)
radium_carbine_1skill_b_BIG_weapons_techadept_Godlike_Summon_cost_on_kill (biggodlike)
radium_carbine_2skill (godlike)
radium_carbine_2skill_b_BIG_weapons_techadept_Godlike_Summon_cost_on_kill (biggodlike)
voltaic_axe_1skill (godlike)
voltaic_axe_1skill_b_BIG_weapons_techadept_Godlike_Summon_cost_on_kill (biggodlike)
voltaic_axe_2skill (godlike)
voltaic_axe_2skill_b_BIG_weapons_techadept_Godlike_Summon_cost_on_kill (biggodlike)
```


## Godlike_Suppression_damage_against_Afraid:
```
purity_seal (godlike)
```


## Godlike_Suppression_damage_against_Bleeding:
```
purity_seal (godlike)
```


## Godlike_Suppression_damage_against_Blinded:
```
purity_seal (godlike)
wardrug_basic_a_Blind_innoculator (ancient)
```


## Godlike_Suppression_damage_against_Burning:
```
purity_seal (godlike)
```


## Godlike_Suppression_damage_against_Poisoned:
```
purity_seal (godlike)
```


## Godlike_Suppression_damage_against_Slow_Shock:
```
arc_blade_a_Slow_Shock_weapon (ancient)
arc_rifle_1skill_a_Slow_Shock_weapon (ancient)
arc_rifle_2skill_a_Slow_Shock_weapon (ancient)
arc_sword_a_Slow_Shock_weapon (ancient)
assassin_power_sword_a_Slow_Shock_weapon (ancient)
autogun_a_Slow_Shock_weapon (ancient)
autopistol_a_Slow_Shock_weapon (ancient)
bolt_pistol_a_Slow_Shock_weapon (ancient)
boltgun_a_Slow_Shock_weapon (ancient)
carthean_sword_a_Slow_Shock_weapon (ancient)
chainsword_a_Slow_Shock_weapon (ancient)
death_cult_blade_a_Slow_Shock_weapon (ancient)
eviscerator_a_Slow_Shock_weapon (ancient)
exitus_rifle_a_Slow_Shock_weapon (ancient)
force_rod_2_a_Slow_Shock_weapon (ancient)
force_rod_3_a_Slow_Shock_weapon (ancient)
force_rod_a_Slow_Shock_weapon (ancient)
force_staff_2_a_Slow_Shock_weapon (ancient)
force_staff_3_a_Slow_Shock_weapon (ancient)
force_staff_a_Slow_Shock_weapon (ancient)
grav_gun_a_Slow_Shock_weapon (ancient)
grav_pistol_a_Slow_Shock_weapon (ancient)
greataxe_a_Slow_Shock_weapon (ancient)
greatsword_a_Slow_Shock_weapon (ancient)
grenade_launcher_a_Slow_Shock_weapon (ancient)
heavy_bolter_a_Slow_Shock_weapon (ancient)
heavy_flamer_a_Slow_Shock_weapon (ancient)
inferno_pistol_a_Slow_Shock_weapon (ancient)
lasgun_a_Slow_Shock_weapon (ancient)
laspistol_a_Slow_Shock_weapon (ancient)
longlas_rifle_a_Slow_Shock_weapon (ancient)
melta_gun_a_Slow_Shock_weapon (ancient)
multi_melta_a_Slow_Shock_weapon (ancient)
needler_sniper_rifle_a_Slow_Shock_weapon (ancient)
null_rod_a_Slow_Shock_weapon (ancient)
plasma_cannon_a_Slow_Shock_weapon (ancient)
plasma_gun_a_Slow_Shock_weapon (ancient)
plasma_pistol_a_Slow_Shock_weapon (ancient)
power_axe_a_Slow_Shock_weapon (ancient)
power_hammer_a_Slow_Shock_weapon (ancient)
power_sword_a_Slow_Shock_weapon (ancient)
purity_seal (godlike)
radium_carbine_1skill_a_Slow_Shock_weapon (ancient)
radium_carbine_2skill_a_Slow_Shock_weapon (ancient)
shotgun_a_Slow_Shock_weapon (ancient)
sniper_rifle_a_Slow_Shock_weapon (ancient)
thunder_hammer_a_Slow_Shock_weapon (ancient)
```


## Godlike_Suppression_damage_in_Enraged:
```
belt_deflector_field_generator (godlike)
belt_digital_weapons (godlike)
belt_fabricator_scatter_field (godlike)
belt_frag_grenade (godlike)
belt_fuse_delayed_grenade (godlike)
belt_personal_teleporter (godlike)
belt_personal_void_shield (godlike)
belt_psyker (godlike)
belt_refractor_field (godlike)
belt_remote_mine (godlike)
belt_rosarius_force_field (godlike)
belt_stun_grenade (godlike)
belt_stun_mine (godlike)
belt_technomartyr_girdle (godlike)
```


## Godlike_Suppression_damage_per_Berserk:
```
signum (godlike)
```


## Godlike_Suppression_Heal_on_Crit:
```
purity_seal (godlike)
```


## Godlike_Suppression_Heal_on_Shield_Struck:
```
arc_blade_a_Shield_weapon (ancient)
arc_sword_a_Shield_weapon (ancient)
assassin_power_sword_a_Shield_weapon (ancient)
autogun_a_Shield_weapon (ancient)
autopistol_a_Shield_weapon (ancient)
bolt_pistol_a_Shield_weapon (ancient)
boltgun_a_Shield_weapon (ancient)
carthean_sword_a_Shield_weapon (ancient)
chainsword_a_Shield_weapon (ancient)
death_cult_blade_a_Shield_weapon (ancient)
eviscerator_a_Shield_weapon (ancient)
exitus_rifle_a_Shield_weapon (ancient)
grav_gun_a_Shield_weapon (ancient)
grav_pistol_a_Shield_weapon (ancient)
greataxe_a_Shield_weapon (ancient)
greatsword_a_Shield_weapon (ancient)
grenade_launcher_a_Shield_weapon (ancient)
heavy_bolter_a_Shield_weapon (ancient)
heavy_flamer_a_Shield_weapon (ancient)
inferno_pistol_a_Shield_weapon (ancient)
lasgun_a_Shield_weapon (ancient)
laspistol_a_Shield_weapon (ancient)
longlas_rifle_a_Shield_weapon (ancient)
melta_gun_a_Shield_weapon (ancient)
multi_melta_a_Shield_weapon (ancient)
needler_sniper_rifle_a_Shield_weapon (ancient)
plasma_cannon_a_Shield_weapon (ancient)
plasma_gun_a_Shield_weapon (ancient)
plasma_pistol_a_Shield_weapon (ancient)
power_axe_a_Shield_weapon (ancient)
power_hammer_a_Shield_weapon (ancient)
power_sword_a_Shield_weapon (ancient)
purity_seal (godlike)
shotgun_a_Shield_weapon (ancient)
sniper_rifle_a_Shield_weapon (ancient)
storm_shield_a_Shield_weapon (ancient)
suppression_shield_a_Shield_weapon (ancient)
thunder_hammer_a_Shield_weapon (ancient)
```


## Godlike_Suppression_per_hit_in_red:
```
eye_implant (godlike)
main_implant (godlike)
```


## Godlike_Suppression_per_kill:
```
belt_deflector_field_generator_b_BIG_belts_Godlike_Suppression_per_kill (biggodlike)
belt_digital_weapons_b_BIG_belts_Godlike_Suppression_per_kill (biggodlike)
belt_fabricator_scatter_field_b_BIG_belts_Godlike_Suppression_per_kill (biggodlike)
belt_frag_grenade_b_BIG_belts_Godlike_Suppression_per_kill (biggodlike)
belt_fuse_delayed_grenade_b_BIG_belts_Godlike_Suppression_per_kill (biggodlike)
belt_personal_teleporter_b_BIG_belts_Godlike_Suppression_per_kill (biggodlike)
belt_personal_void_shield_b_BIG_belts_Godlike_Suppression_per_kill (biggodlike)
belt_psyker_b_BIG_belts_Godlike_Suppression_per_kill (biggodlike)
belt_refractor_field_b_BIG_belts_Godlike_Suppression_per_kill (biggodlike)
belt_remote_mine_b_BIG_belts_Godlike_Suppression_per_kill (biggodlike)
belt_rosarius_force_field_b_BIG_belts_Godlike_Suppression_per_kill (biggodlike)
belt_stun_grenade_b_BIG_belts_Godlike_Suppression_per_kill (biggodlike)
belt_stun_mine_b_BIG_belts_Godlike_Suppression_per_kill (biggodlike)
belt_technomartyr_girdle_b_BIG_belts_Godlike_Suppression_per_kill (biggodlike)
purity_seal_b_BIG_purity_seal_Godlike_Suppression_per_kill (biggodlike)
```


## Godlike_Suppression_per_kill_in_yellow:
```
eye_implant_b_BIG_eye_implant_Godlike_Suppression_per_kill_in_yellow (biggodlike)
neural_implant_b_BIG_neural_implant_Godlike_Suppression_per_kill_in_yellow (biggodlike)
```


## Godlike_Suppression_regen_in_cover:
```
purity_seal (godlike)
```


## Godlike_Suppression_regen_in_Exposed:
```
eye_implant (godlike)
```


## Godlike_Suppression_regen_in_yellow:
```
wardrug_basic (godlike)
```


## Godlike_Vulnerability_duration:
```
main_implant_b_BIG_main_implant_Godlike_Vulnerability_duration (biggodlike)
neural_implant_b_BIG_neural_implant_Godlike_Vulnerability_duration (biggodlike)
wardrug_basic_a_Vulnerability_innoculator (ancient)
```


## Godlike_Vulnerability_on_Crit:
```
arc_blade_a_Vulnerability_weapon (ancient)
arc_rifle_1skill_a_Vulnerability_weapon (ancient)
arc_rifle_2skill_a_Vulnerability_weapon (ancient)
arc_sword_a_Vulnerability_weapon (ancient)
assassin_power_sword_a_Vulnerability_weapon (ancient)
autogun_a_Vulnerability_weapon (ancient)
autopistol_a_Vulnerability_weapon (ancient)
bolt_pistol_a_Vulnerability_weapon (ancient)
boltgun_a_Vulnerability_weapon (ancient)
carthean_sword_a_Vulnerability_weapon (ancient)
chainsword_a_Vulnerability_weapon (ancient)
death_cult_blade_a_Vulnerability_weapon (ancient)
eviscerator_a_Vulnerability_weapon (ancient)
exitus_rifle_a_Vulnerability_weapon (ancient)
eye_implant_b_BIG_eye_implant_Godlike_Vulnerability_on_Crit (biggodlike)
force_rod_2_a_Vulnerability_weapon (ancient)
force_rod_3_a_Vulnerability_weapon (ancient)
force_rod_a_Vulnerability_weapon (ancient)
force_staff_2_a_Vulnerability_weapon (ancient)
force_staff_3_a_Vulnerability_weapon (ancient)
force_staff_a_Vulnerability_weapon (ancient)
force_sword_2_a_Vulnerability_weapon (ancient)
force_sword_3_a_Vulnerability_weapon (ancient)
force_sword_a_Vulnerability_weapon (ancient)
grav_gun_a_Vulnerability_weapon (ancient)
grav_pistol_a_Vulnerability_weapon (ancient)
greataxe_a_Vulnerability_weapon (ancient)
greatsword_a_Vulnerability_weapon (ancient)
grenade_launcher_a_Vulnerability_weapon (ancient)
heavy_bolter_a_Vulnerability_weapon (ancient)
heavy_flamer_a_Vulnerability_weapon (ancient)
inferno_pistol_a_Vulnerability_weapon (ancient)
lasgun_a_Vulnerability_weapon (ancient)
laspistol_a_Vulnerability_weapon (ancient)
longlas_rifle_a_Vulnerability_weapon (ancient)
melta_gun_a_Vulnerability_weapon (ancient)
multi_melta_a_Vulnerability_weapon (ancient)
needler_sniper_rifle_a_Vulnerability_weapon (ancient)
null_rod_a_Vulnerability_weapon (ancient)
omnissian_axe_1skill_a_Vulnerability_weapon (ancient)
omnissian_axe_2skill_a_Vulnerability_weapon (ancient)
plasma_cannon_a_Vulnerability_weapon (ancient)
plasma_gun_a_Vulnerability_weapon (ancient)
plasma_pistol_a_Vulnerability_weapon (ancient)
power_axe_a_Vulnerability_weapon (ancient)
power_hammer_a_Vulnerability_weapon (ancient)
power_sword_a_Vulnerability_weapon (ancient)
radium_carbine_1skill_a_Vulnerability_weapon (ancient)
radium_carbine_2skill_a_Vulnerability_weapon (ancient)
shotgun_a_Vulnerability_weapon (ancient)
signum_b_BIG_signum_Godlike_Vulnerability_on_Crit (biggodlike)
sniper_rifle_a_Vulnerability_weapon (ancient)
thunder_hammer_a_Vulnerability_weapon (ancient)
voltaic_axe_1skill_a_Vulnerability_weapon (ancient)
voltaic_axe_2skill_a_Vulnerability_weapon (ancient)
```


## Godlike_Vulnerability_on_debuff:
```
signum_b_BIG_signum_Godlike_Vulnerability_on_debuff (biggodlike)
```


## Godlike_Vulnerability_on_hit:
```
eye_implant (godlike)
```


## Godlike_Warp_Heat_reduction_in_threat:
```
force_rod_2_a_In_crowd_weapon_Psyker (ancient)
force_rod_3_a_In_crowd_weapon_Psyker (ancient)
force_rod_a_In_crowd_weapon_Psyker (ancient)
force_staff_2_a_In_crowd_weapon_Psyker (ancient)
force_staff_3_a_In_crowd_weapon_Psyker (ancient)
force_staff_a_In_crowd_weapon_Psyker (ancient)
force_sword_2_a_In_crowd_weapon_Psyker (ancient)
force_sword_3_a_In_crowd_weapon_Psyker (ancient)
force_sword_a_In_crowd_weapon_Psyker (ancient)
purity_seal (godlike)
```


## Godlike_Xp_Bonus:
```
signum_a_XP_Bonus_Signum (ancient)
```


## Halved_heat_resist:
```
signum (godlike)
```


## Heal_on_Crit:
```
arc_blade_a_Crithit_weapon (ancient)
arc_rifle_1skill_a_Crithit_weapon (ancient)
arc_rifle_2skill_a_Crithit_weapon (ancient)
arc_sword_a_Crithit_weapon (ancient)
assassin_power_sword (godlike)
assassin_power_sword_a_Crithit_weapon (ancient)
assassin_power_sword_b_BIG_weapons_assassin_melee_egyeb_Heal_on_Crit (biggodlike)
autogun (godlike)
autogun_a_Crithit_weapon (ancient)
autogun_b_BIG_weapons_crusader_ranged_fast_speed_magazine_Heal_on_Crit (biggodlike)
autopistol (godlike)
autopistol_a_Crithit_weapon (ancient)
autopistol_b_BIG_weapons_crusader_ranged_fast_speed_magazine_Heal_on_Crit (biggodlike)
bolt_pistol (godlike)
bolt_pistol_a_Crithit_weapon (ancient)
bolt_pistol_b_BIG_weapons_crusader_ranged_fast_speed_magazine_Heal_on_Crit (biggodlike)
boltgun (godlike)
boltgun_a_Crithit_weapon (ancient)
boltgun_b_BIG_weapons_crusader_ranged_fast_speed_magazine_Heal_on_Crit (biggodlike)
carthean_sword (godlike)
carthean_sword_a_Crithit_weapon (ancient)
carthean_sword_b_BIG_weapons_assassin_melee_egyeb_Heal_on_Crit (biggodlike)
chainsword_a_Crithit_weapon (ancient)
death_cult_blade (godlike)
death_cult_blade_a_Crithit_weapon (ancient)
death_cult_blade_b_BIG_weapons_assassin_melee_egyeb_Heal_on_Crit (biggodlike)
eviscerator_a_Crithit_weapon (ancient)
exitus_rifle_a_Crithit_weapon (ancient)
force_rod (godlike)
force_rod_2 (godlike)
force_rod_2_a_Crithit_weapon (ancient)
force_rod_3 (godlike)
force_rod_3_a_Crithit_weapon (ancient)
force_rod_a_Crithit_weapon (ancient)
force_staff (godlike)
force_staff_2 (godlike)
force_staff_2_a_Crithit_weapon (ancient)
force_staff_3 (godlike)
force_staff_3_a_Crithit_weapon (ancient)
force_staff_a_Crithit_weapon (ancient)
force_sword (godlike)
force_sword_2 (godlike)
force_sword_2_a_Crithit_weapon (ancient)
force_sword_3 (godlike)
force_sword_3_a_Crithit_weapon (ancient)
force_sword_a_Crithit_weapon (ancient)
grav_gun_a_Crithit_weapon (ancient)
grav_pistol_a_Crithit_weapon (ancient)
greataxe (godlike)
greataxe_a_Crithit_weapon (ancient)
greataxe_b_BIG_weapons_crusader_melee_axe_Heal_on_Crit (biggodlike)
greatsword (godlike)
greatsword_a_Crithit_weapon (ancient)
greatsword_b_BIG_weapons_crusader_melee_sword_Heal_on_Crit (biggodlike)
grenade_launcher_a_Crithit_weapon (ancient)
heavy_bolter (godlike)
heavy_bolter_a_Crithit_weapon (ancient)
heavy_bolter_b_BIG_weapons_crusader_ranged_fast_speed_magazine_Heal_on_Crit (biggodlike)
heavy_flamer_a_Crithit_weapon (ancient)
inferno_pistol_a_Crithit_weapon (ancient)
lasgun_a_Crithit_weapon (ancient)
laspistol_a_Crithit_weapon (ancient)
longlas_rifle (godlike)
longlas_rifle_a_Crithit_weapon (ancient)
melta_gun_a_Crithit_weapon (ancient)
multi_melta_a_Crithit_weapon (ancient)
needler_sniper_rifle (godlike)
needler_sniper_rifle_a_Crithit_weapon (ancient)
null_rod (godlike)
null_rod_a_Crithit_weapon (ancient)
null_rod_b_BIG_weapons_assassin_melee_egyeb_Heal_on_Crit (biggodlike)
omnissian_axe_1skill_a_Crithit_weapon (ancient)
omnissian_axe_2skill_a_Crithit_weapon (ancient)
plasma_cannon_a_Crithit_weapon (ancient)
plasma_gun_a_Crithit_weapon (ancient)
plasma_pistol_a_Crithit_weapon (ancient)
power_axe (godlike)
power_axe_a_Crithit_weapon (ancient)
power_axe_b_BIG_weapons_crusader_melee_axe_Heal_on_Crit (biggodlike)
power_hammer_a_Crithit_weapon (ancient)
power_sword (godlike)
power_sword_a_Crithit_weapon (ancient)
power_sword_b_BIG_weapons_crusader_melee_sword_Heal_on_Crit (biggodlike)
radium_carbine_1skill_a_Crithit_weapon (ancient)
radium_carbine_2skill_a_Crithit_weapon (ancient)
shotgun_a_Crithit_weapon (ancient)
sniper_rifle_a_Crithit_weapon (ancient)
thunder_hammer_a_Crithit_weapon (ancient)
voltaic_axe_1skill_a_Crithit_weapon (ancient)
voltaic_axe_2skill_a_Crithit_weapon (ancient)
```


## Heal_on_deadly_strikes:
```
arc_blade (godlike)
arc_blade_b_BIG_weapons_assassin_melee_Heal_on_deadly_strikes (biggodlike)
arc_sword (godlike)
arc_sword_b_BIG_weapons_assassin_melee_Heal_on_deadly_strikes (biggodlike)
assassin_power_sword (godlike)
assassin_power_sword_b_BIG_weapons_assassin_melee_Heal_on_deadly_strikes (biggodlike)
assassin_power_sword_b_BIG_weapons_assassin_melee_egyeb_Heal_on_deadly_strikes (biggodlike)
carthean_sword (godlike)
carthean_sword_b_BIG_weapons_assassin_melee_Heal_on_deadly_strikes (biggodlike)
carthean_sword_b_BIG_weapons_assassin_melee_egyeb_Heal_on_deadly_strikes (biggodlike)
chainsword (godlike)
chainsword_b_BIG_weapons_crusader_melee_Heal_on_deadly_strikes (biggodlike)
death_cult_blade (godlike)
death_cult_blade_b_BIG_weapons_assassin_melee_Heal_on_deadly_strikes (biggodlike)
death_cult_blade_b_BIG_weapons_assassin_melee_egyeb_Heal_on_deadly_strikes (biggodlike)
eviscerator (godlike)
eviscerator_b_BIG_weapons_crusader_melee_Heal_on_deadly_strikes (biggodlike)
force_sword (godlike)
force_sword_2 (godlike)
force_sword_2_b_BIG_weapons_psyker_melee_Heal_on_deadly_strikes (biggodlike)
force_sword_3 (godlike)
force_sword_3_b_BIG_weapons_psyker_melee_Heal_on_deadly_strikes (biggodlike)
force_sword_b_BIG_weapons_psyker_melee_Heal_on_deadly_strikes (biggodlike)
greataxe (godlike)
greataxe_b_BIG_weapons_crusader_melee_Heal_on_deadly_strikes (biggodlike)
greatsword (godlike)
greatsword_b_BIG_weapons_crusader_melee_Heal_on_deadly_strikes (biggodlike)
null_rod (godlike)
null_rod_b_BIG_weapons_assassin_melee_Heal_on_deadly_strikes (biggodlike)
null_rod_b_BIG_weapons_assassin_melee_egyeb_Heal_on_deadly_strikes (biggodlike)
omnissian_axe_1skill (godlike)
omnissian_axe_2skill (godlike)
power_axe (godlike)
power_axe_b_BIG_weapons_crusader_melee_Heal_on_deadly_strikes (biggodlike)
power_hammer (godlike)
power_hammer_b_BIG_weapons_crusader_melee_Heal_on_deadly_strikes (biggodlike)
power_sword (godlike)
power_sword_b_BIG_weapons_crusader_melee_Heal_on_deadly_strikes (biggodlike)
thunder_hammer (godlike)
thunder_hammer_b_BIG_weapons_crusader_melee_Heal_on_deadly_strikes (biggodlike)
voltaic_axe_1skill (godlike)
voltaic_axe_2skill (godlike)
wardrug_basic_a_Dodge_roham_innoculator (ancient)
```


## Heal_on_kill_daemon:
```
chainsword (godlike)
eviscerator (godlike)
force_rod (godlike)
force_rod_2 (godlike)
force_rod_3 (godlike)
force_staff (godlike)
force_staff_2 (godlike)
force_staff_3 (godlike)
force_sword (godlike)
force_sword_2 (godlike)
force_sword_3 (godlike)
greataxe (godlike)
greatsword (godlike)
power_axe (godlike)
power_hammer (godlike)
power_sword (godlike)
shotgun (godlike)
thunder_hammer (godlike)
```


## Hp_and_suppress_gain_per_zeal_spent:
```
assault_armor (godlike)
assault_armor_a_Regen_GreenSupp_armour (ancient)
assault_armor_b_Big_armours_crusader_Hp_and_suppress_gain_per_zeal_spent (biggodlike)
demolition_armor (godlike)
demolition_armor_a_Regen_GreenSupp_armour (ancient)
demolition_armor_b_Big_armours_crusader_Hp_and_suppress_gain_per_zeal_spent (biggodlike)
sentinel_armor (godlike)
sentinel_armor_a_Regen_GreenSupp_armour (ancient)
sentinel_armor_b_Big_armours_crusader_Hp_and_suppress_gain_per_zeal_spent (biggodlike)
```


## Hp_regen_based_on_adrenalin:
```
fabricator_distortion_armour (godlike)
hololithic_armour (godlike)
stealth_bodysuit (godlike)
```


## Hp_regen_from_missing_hp:
```
aetherwalker_armour (godlike)
assault_armor (godlike)
demolition_armor (godlike)
electroid_shielding (godlike)
empyrean_armour (godlike)
fabricator_distortion_armour (godlike)
hololithic_armour (godlike)
necromechanic_raiment (godlike)
purity_seal_a_Regen_GreenSupp_purity (ancient)
sentinel_armor (godlike)
stealth_bodysuit (godlike)
technomartyr_vestment (godlike)
warpbound_armour (godlike)
```


## HP_regen_in_execution_bonus:
```
assault_armor (godlike)
demolition_armor (godlike)
fabricator_distortion_armour (godlike)
hololithic_armour (godlike)
sentinel_armor (godlike)
stealth_bodysuit (godlike)
wardrug_basic_a_Execution_innoculator (ancient)
```


## Minion_chance_to_burn_on_hit:
```
arc_rifle_1skill (godlike)
arc_rifle_2skill (godlike)
omnissian_axe_1skill (godlike)
omnissian_axe_2skill (godlike)
radium_carbine_1skill (godlike)
radium_carbine_2skill (godlike)
voltaic_axe_1skill (godlike)
voltaic_axe_2skill (godlike)
```


## Minion_Damage_Module_Combustor_GL:
```
booster_damage_bonus_item (godlike)
```


## Minion_Damage_Module_Kastellan_GL:
```
booster_damage_bonus_item (godlike)
```


## Minion_Damage_Module_Kataphron_Destroyer_GL:
```
booster_damage_bonus_item (godlike)
```


## Minion_Damage_Module_Kataphron_Vanguard_GL:
```
booster_damage_bonus_item (godlike)
```


## Minion_Damage_Module_Tarantula_GL:
```
booster_damage_bonus_item (godlike)
```


## Minion_Damage_Module_Vivisector_GL:
```
booster_damage_bonus_item (godlike)
```


## Minion_HP_Module_Combustor_GL:
```

```


## Minion_HP_Module_Kastellan_GL:
```

```


